Phone Brand,Phone specification,Old Price,New Price,Rating
Gionee,"M15, 6.67"" (8GB RAM, 128GB ROM) Android 11 (48/5/2/2)MP + 16MP Selfie - 4G LTE - Dual - 5100mAh - Fingerprint - Blue",150000,105900,4.7
Huawei,"Y9 2018 5.93-Inch (3GB, 32GB ROM) Android 8.0  8 MP+13 MP Camera Dual SIM 4000 MAh",90196,54082,4.2
XIAOMI,"Redmi Note 9 3GB 64GB, 48MP+8MP+5MP+2MP, 5020mah Snapdragon, Corning Gorilla Glass- Green",120000,85050,4.2
Tecno,"F1 5.0"" (1GB, 8GB ROM) Android 8.1 Oreo (Go Edition), 5MP + 2MP Dual SIM 3G Smartphone - Elegant Black",28000,25999,
Cubot,Note 20  3GB+64GB Rear Quad Camera  Android 10 4200mAh Dual SIM Card Smartphone,56999,47999,3.0
Nokia,"2.4 - 64GB ROM + 3GB RAM, 6.5 HD+ Display, 4500maH Battery, 4G, Dual SIM With 12 Month Warranty - Charcoal/ Grey",60800,59500,5.0
Infinix,"Note 7 X690B - Dual - 128GB ROM - 6GB RAM - 4G Lte - 6.95'' - 48mp+16MP - 5000mAh - Fingerprint, Forest Green.",93500,91500,4.5
Samsung,Galaxy S8 Plus - Single Sim - 4GB RAM - 64GB ROM + Free Pouch & Screen Guide,,116000,
Gionee,"P15 PRO-6.82""HD+ V-NOTCH DISPLAY-64GB ROM/3GB RAM-13MP/2MP/AI LENS+8MP-ANDROID TM 11-6000MAH-HELIO G35 OCTA-CORE-FJORD",64000,61500,
Samsung,"Galaxy A22 - 6.4"" HD+ Super AMOLED Screen, 4GB/64GB Storage, 48/8/2/2MP Camera, 5,000 Mah Battery 4G LTE - Black",104000,97500,
Tecno,"POP3 (BB2) 5.7"" Screen, 16GB ROM + 1GB RAM, Android 8.1 Oreo, 8MP + 5MP Camera, 3500mAh, Fingerprint , Champagne Gold",35000,31790,4.7
Tecno,"POP3 (BB2) 5.7-Inch, (16GB ROM 1GB RAM) Android 8.1 Oreo 8MP + 5MP Camera 3500mAh Fingerprint & Face ID - Champagne Gold",34000,31200,4.4
Itel,"A37 5.7"" HD+ Waterdrop Screen, 1GB RAM + 16GB ROM, Android 10, 3020mAh Battery, 5MP Camera, Face ID - Blue + Free Case",30000,28290,5.0
Generic,Phone Tripod Stand Kit With Free  Phone Lens  And Remote Control Lightweight Portable-BLACK,15000,6599,
Apple,"IPhone 12 Pro Max-Dual Sim- 512GB, 6GB RAM, 6.7-Inch,(12MP+12MP+12MP) - 5G-Silver",850000,829000,
Samsung,"Galaxy S9 Plus (S9+) 6.2-Inch QHD (6GB, 64GB ROM) Android 8.0 Oreo, 12MP + 8MP Dual SIM 4G Smartphone - Purple",,140000,2.5
Tecno,"Spark 7 (KF6i) 6.5"" HD+, 64GB ROM + 3GB RAM, 500mAh, 16MP Dual Camera + 8MP Selfie, Android 11, 4G, Fingerprint - Black",75000,58490,5.0
